Comment,Designator,Footprint,LCSC
"LED","D1,D17,D34,D50,D67,D83,D100,D116,D2,D18,D35,D51,D68,D84,D101,D117,D3,D19,D36,D52,D69,D85,D102,D118,D4,D20,D37,D53,D70,D86,D103,D119,D5,D21,D38,D54,D71,D87,D104,D120,D6,D22,D39,D55,D72,D88,D105,D121,D7,D23,D40,D56,D73,D89,D106,D122,D8,D24,D41,D57,D74,D90,D107,D123,D9,D25,D42,D58,D75,D91,D108,D124,D10,D26,D43,D59,D76,D92,D109,D125,D11,D27,D44,D60,D77,D93,D110,D126,D12,D28,D45,D61,D78,D94,D111,D127,D13,D29,D46,D62,D79,D95,D112,D128,D14,D30,D47,D63,D80,D96,D113,D129,D15,D31,D48,D64,D81,D97,D114,D130,D16,D32,D49,D65,D82,D98,D115,D131","LED_SMD:LED_0603_1608Metric","C2290"
"D","D132","Diode_SMD:D_SOD-123F","C162732"
"Conn_01x10_Female","J1","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"HT16K33","J2","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm",""
"Conn_01x10_Female","J3,J4,J5,J6","Rotary_Encoder:EAW0J",""
"SolderJumper_3_Open","JP2,JP5,JP1,JP4,JP6,JP3","Jumper:SolderJumper-3_P1.3mm_Open_Pad1.0x1.5mm_NumberLabels",""
"SolderJumper_2_Bridged","JP7,JP8","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm",""
"SolderJumper_2_Open","JP9,JP10,JP11","Jumper:SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm",""
"4.7K","R1,R2","Resistor_SMD:R_0402_1005Metric","C25940"
"39K","R3,R4,R5","Resistor_SMD:R_0402_1005Metric","C159976"
"MCP23017-E_SO","U1,U2","Package_SO:SOIC-28W_7.5x17.9mm_P1.27mm",""
